Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A) 9,Total - Gender,Men+ 10,Women+ 11
"643 Occupations in food, accommodation and tourism","4,165","1,380","2,785"
6430 Occupations in food and beverage service,"1,900",620,"1,285"
64300 Maîtres d'hôtel and hosts/hostesses,685,120,560
64301 Bartenders,"1,220",495,725
6431 Occupations in travel and accommodation,"1,820",510,"1,315"
64310 Travel counsellors,470,90,380
64311 Pursers and flight attendants,205,40,165
64312 Airline ticket and service agents,355,105,245
"64313 Ground and water transport ticket agents, cargo service representatives and related clerks",80,40,40
64314 Hotel front desk clerks,720,230,490
6432 Tourism and amusement services occupations,440,250,190
64320 Tour and travel guides,50,35,20
64321 Casino workers,300,140,155
64322 Outdoor sport and recreational guides,90,75,15
"644 Occupations in customer, information and protective services","19,930","9,340","10,585"
6440 Customer and information services representatives,"14,540","5,200","9,340"
64400 Customer services representatives - financial institutions,"2,255",375,"1,880"
64401 Postal services representatives,345,150,195
64409 Other customer and information services representatives,"11,940","4,675","7,270"
6441 Security guards and related security service occupations,"5,385","4,140","1,245"
64410 Security guards and related security service occupations,"5,385","4,140","1,245"
65 Sales and service support occupations,"70,380","26,865","43,510"
651 Sales support occupations,"24,695","10,030","14,665"
6510 Cashiers and other sales support occupations,"24,695","10,030","14,665"
65100 Cashiers,"13,365","3,440","9,930"
65101 Service station attendants,"1,355","1,095",255
"65102 Store shelf stockers, clerks and order fillers","8,565","5,060","3,505"
65109 Other sales related occupations,"1,415",440,975
"652 Support occupations in food, accommodation and tourism","24,645","7,800","16,845"
6520 Food support occupations,"22,175","6,780","15,395"
65200 Food and beverage servers,"5,375",990,"4,385"
"65201 Food counter attendants, kitchen helpers and related support occupations","16,400","5,460","10,945"
65202 Meat cutters and fishmongers - retail and wholesale,405,335,75
"6521 Support occupations in accommodation, travel, tourism and amusement services","1,420",885,535
"65210 Support occupations in accommodation, travel and facilities set-up services",155,110,45
"65211 Operators and attendants in amusement, recreation and sport","1,265",775,490
6522 Support occupations in personal services,"1,050",135,915
65220 Pet groomers and animal care workers,965,135,830
65229 Other support occupations in personal services,90,0,85
653 Support occupations in cleaning and related services,"21,035","9,035","12,005"
6531 Cleaners,"19,115","8,210","10,905"
65310 Light duty cleaners,"11,230","3,045","8,195"
65311 Specialized cleaners,"2,400","2,070",325
"65312 Janitors, caretakers and heavy-duty cleaners","5,485","3,100","2,385"
6532 Service support and related occupations,"1,925",825,"1,095"
"65320 Dry cleaning, laundry and related occupations",830,235,595
65329 Other service support occupations,"1,095",590,505
"7 Trades, transport and equipment operators and related occupations","134,415","124,430","9,990"
70 Middle management occupations in trades and transportation,"9,790","8,115","1,680"
700 Middle management occupations in trades and transportation,"9,790","8,115","1,680"
7001 Managers in construction and facility operation and maintenance,"7,835","6,595","1,240"
