Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A) 9,Total - Gender,Men+ 10,Women+ 11
72100 Machinists and machining and tooling inspectors,85,85,0
72101 Tool and die makers,0,0,0
72102 Sheet metal workers,55,50,10
72103 Boilermakers,0,0,0
72104 Structural metal and platework fabricators and fitters,15,15,0
72105 Ironworkers,25,25,0
72106 Welders and related machine operators,515,490,30
722 Technical electrical trades,770,725,40
7220 Technical electrical trades and electrical power line and telecommunications workers,770,725,40
72200 Electricians (except industrial and power system),480,475,10
72201 Industrial electricians,55,55,0
72202 Power system electricians,0,0,0
72203 Electrical power line and cable workers,80,80,0
72204 Telecommunications line and cable installers and repairers,40,35,10
72205 Telecommunications equipment installation and cable television service technicians,105,80,20
723 Technical construction trades,"2,090","2,030",60
"7230 Plumbers, pipefitters and gas fitters",415,395,25
72300 Plumbers,355,335,10
"72301 Steamfitters, pipefitters and sprinkler system installers",40,40,0
72302 Gas fitters,25,15,0
7231 Carpenters and cabinetmakers,"1,575","1,535",35
72310 Carpenters,"1,520","1,490",30
72311 Cabinetmakers,55,50,0
7232 Bricklayers and insulators,100,100,0
72320 Bricklayers,55,55,0
72321 Insulators,45,45,0
724 Technical maintenance trades,"1,790","1,760",25
7240 Machinery and transportation equipment mechanics (except motor vehicles),700,685,20
72400 Construction millwrights and industrial mechanics,145,145,0
72401 Heavy-duty equipment mechanics,235,235,0
"72402 Heating, refrigeration and air conditioning mechanics",85,85,0
72403 Railway carmen/women,0,0,0
72404 Aircraft mechanics and aircraft inspectors,215,200,20
72405 Machine fitters,10,10,0
72406 Elevator constructors and mechanics,10,10,0
7241 Automotive service technicians,975,965,10
